Total Amount,Date,SICK LEGEND,TEKKNO,HYPERTECHNO,TECHNO N TEQUILLA,DRILL GATES,SPED UP DRILL GATES,11:11 Music Group,TWO PUNKS IN LOVE,RAINY JASPER,AMBIENT JASPER,90210,DEADBOY,REAL ARTISTS
1640961,"March 16, 2023",594103,201802,4512,0,132732,1679,666318,9,3170,1494,5,35137,
1647575,"March 15, 2023",614703,195401,4198,0,132512,2068,661578,6,3175,1549,3,32382,
1627197,"March 14, 2023",619144,186709,4170,0,123814,1597,656381,9,3346,1358,4,30665,
1631109,"March 13, 2023",616713,186536,4424,0,127221,1743,658894,15,3344,1562,1,30656,
1468697,"March 12, 2023",499899,154377,2671,0,126790,1559,650116,9,3019,1284,3,28970,
1608541,"March 11, 2023",564149,190594,2904,0,129082,1842,683549,9,2705,1254,2,32451,
1728136,"March 10, 2023",646331,204577,2797,0,136830,1892,700663,7,2615,1031,3,31390,
1636152,"March 9, 2023",594479,172826,2263,0,128773,1940,702020,10,2980,1038,2,29821,
1629381,"March 8, 2023",592319,170912,1978,0,127478,1809,701033,7,2993,1099,3,29750,
1646607,"March 7, 2023",610874,165484,1812,0,126493,1668,706426,9,3398,1127,4,29312,
1618156,"March 6, 2023",591861,157191,1638,0,128437,1724,702571,8,3648,1105,5,29968,
1439691,"March 5, 2023",475437,127048,1433,0,118964,1854,682770,7,3282,911,5,27980,
1585000,"March 4, 2023",550379,162315,1474,0,121573,2184,711855,10,2875,954,4,31377,
1671039,"March 3, 2023",635511,169843,1514,0,127263,2149,700234,7,3043,1046,7,30422,
1605795,"March 2, 2023",576965,155897,1200,0,123186,2055,714669,6,3253,1050,10,27504,
1598775,"March 1, 2023",578024,149224,1035,0,124071,1904,708250,9,3095,1130,6,32027,
1551105,"February 28, 2023",572256,143471,909,0,116258,1605,685923,5,3003,1078,5,26592,
1565964,"February 27, 2023",552373,161249,692,0,115112,1521,702549,7,2929,992,6,28534,
1407070,"February 26, 2023",434245,140229,512,0,110109,1557,687085,7,2960,917,4,29445,
1584945,"February 25, 2023",523158,169032,457,0,122135,1618,733207,10,2759,839,2,31728,
1667125,"February 24, 2023",586167,183528,344,0,121378,2247,738362,9,2884,886,2,31318,
1613974,"February 23, 2023",551336,169893,160,0,110572,6312,742560,6,3266,955,7,28907,
1604195,"February 22, 2023",555298,161623,107,0,110464,1579,741292,7,3276,1055,8,29486,
1526541,"February 21, 2023",522767,134240,54,0,110070,1351,726586,6,3060,1038,2,27367,
1529976,"February 20, 2023",530104,128179,29,0,116818,1660,722010,7,3125,1016,5,27023,
1390757,"February 19, 2023",440888,107728,23,0,104255,1635,706430,8,3070,821,5,25894,
1537305,"February 18, 2023",516013,128880,27,0,112507,1769,747260,6,2951,843,3,27046,
1643680,"February 17, 2023",574518,147844,17,0,111584,1644,776565,8,3233,905,2,27360,
1589477,"February 16, 2023",546717,130320,14,0,105704,1992,772591,5,3079,950,6,28099,
1619264,"February 15, 2023",566611,141889,13,0,111499,1344,768454,6,3342,1019,4,25083,
1632678,"February 14, 2023",573706,153709,4,0,107222,1381,769243,9,3113,966,4,23321,
1609529,"February 13, 2023",562176,148584,13,0,109368,1360,759915,4,3276,1044,2,23787,
1458824,"February 12, 2023",464163,122361,8,0,103288,1268,741759,4,2744,865,6,22358,
1603613,"February 11, 2023",529988,149333,8,0,112459,1513,782124,6,2686,824,3,24669,
1721854,"February 10, 2023",605765,166234,3,0,116449,1440,804374,5,2828,946,6,23804,
1683570,"February 9, 2023",589748,146046,4,0,117787,1487,802194,6,2993,1040,11,22254,
1710520,"February 8, 2023",600086,148067,2,0,119235,1470,815620,4,3243,977,6,21810,
1711301,"February 7, 2023",597928,145761,2,0,118273,1531,821288,4,3349,1057,12,22096,
1678861,"February 6, 2023",578403,136839,0,0,115846,1328,820671,2,3649,1008,5,21110,
1561014,"February 5, 2023",483895,119199,0,0,111792,1502,820080,4,3309,896,8,20329,
1730625,"February 4, 2023",567698,149281,0,0,117276,1746,869363,7,2940,887,14,21413,
1849902,"February 3, 2023",648244,162367,0,0,118248,1612,894380,5,3016,812,11,21207,
1746788,"February 2, 2023",598641,139869,0,0,111496,1305,870275,6,3514,961,10,20711,
1727353,"February 1, 2023",579940,129433,0,0,116992,1402,874739,3,3327,882,12,20623,
1717181,"January 31, 2023",577279,128403,0,0,117260,1582,868417,0,3280,910,13,20037,
1685919,"January 30, 2023",562340,126986,0,0,104779,1432,866762,0,3050,1128,12,19430,
1499778,"January 29, 2023",461013,97392,0,0,100396,1365,817176,0,3070,824,13,18529,
