Total Amount,Date,SICK LEGEND,TEKKNO,HYPERTECHNO,TECHNO N TEQUILLA,DRILL GATES,SPED UP DRILL GATES,11:11 Music Group,TWO PUNKS IN LOVE,RAINY JASPER,AMBIENT JASPER,90210,DEADBOY,REAL ARTISTS
4584822,"March 6, 2023",1910803,471012,4744,0,288912,2439,1261705,14,479292,103488,7,62406,
3994003,"March 5, 2023",1466514,368481,3697,0,275412,2727,1256486,12,474839,83686,5,62144,
4333798,"March 4, 2023",1705344,481992,3633,0,281954,3042,1286039,15,422903,82725,4,66147,
4667488,"March 3, 2023",1987405,517284,4005,0,292350,3153,1260975,11,433843,103921,12,64529,
4477228,"March 2, 2023",1843636,467105,3313,0,287397,2946,1279068,7,428843,104650,19,60244,
4493269,"March 1, 2023",1863947,446688,2905,0,290293,2925,1261107,13,448783,109746,11,66851,
4318872,"February 28, 2023",1837025,429652,2199,0,271764,2362,1203182,10,425570,90835,8,56265,
4310849,"February 27, 2023",1783331,462059,1676,0,265854,2438,1223627,17,420333,91896,8,59610,
3775590,"February 26, 2023",1346042,387949,1162,0,258745,2334,1209245,10,426075,82824,5,61199,
4242618,"February 25, 2023",1635422,478984,1094,0,285784,2463,1310429,11,391068,70382,3,66978,
4543695,"February 24, 2023",1861303,528197,912,0,280511,3258,1323474,14,400672,80621,4,64729,
4407689,"February 23, 2023",1773804,478678,474,0,248511,8307,1341840,19,405168,90708,15,60165,
4433381,"February 22, 2023",1796117,450888,251,0,245434,2282,1355265,9,427799,93090,25,62221,
4265723,"February 21, 2023",1703350,393113,142,0,244752,2216,1339698,7,423710,99555,2,59178,
4304437,"February 20, 2023",1726843,377253,81,0,258391,2756,1342346,7,446684,90822,6,59248,
3807450,"February 19, 2023",1375554,310009,66,0,236545,2359,1315389,18,417796,92388,13,57313,
4184551,"February 18, 2023",1623181,377767,72,0,253453,2725,1387770,8,388279,89733,3,61560,
4519075,"February 17, 2023",1852441,437331,33,0,255548,2524,1434308,15,392183,86260,11,58421,
4443324,"February 16, 2023",1790944,397005,37,0,244232,2987,1426816,15,419155,102635,8,59490,
4540054,"February 15, 2023",1841453,417165,26,0,254159,2097,1425470,9,437820,106592,4,55259,
4605636,"February 14, 2023",1868682,445099,10,0,243645,2141,1443466,15,442174,107438,6,52960,
4560979,"February 13, 2023",1855826,437737,40,0,252458,2077,1429458,10,423585,106379,4,53405,
3967942,"February 12, 2023",1456265,350275,14,0,240591,1976,1400652,6,389094,78671,8,50390,
4362215,"February 11, 2023",1681483,437142,12,0,262291,2393,1462271,32,374251,85688,3,56649,
4805867,"February 10, 2023",1975214,495623,5,0,276054,2489,1519911,12,392617,89946,9,53987,
4681033,"February 9, 2023",1925808,432485,5,0,281972,2261,1512351,14,376195,98496,12,51434,
4818653,"February 8, 2023",1978917,442151,2,0,291227,2142,1544183,8,410172,96831,7,53013,
4879114,"February 7, 2023",1998605,441555,5,0,291773,2340,1581819,7,411399,99182,23,52406,
4811455,"February 6, 2023",1953963,419350,0,0,284328,2079,1605177,3,403620,92633,8,50294,
4324147,"February 5, 2023",1548371,349953,0,0,279538,2299,1610453,8,404060,79655,9,49801,
4805676,"February 4, 2023",1834816,450606,0,0,296369,2647,1706390,8,371382,90554,23,52881,
5207281,"February 3, 2023",2142689,494399,0,0,297622,2707,1773970,10,357566,86045,13,52260,
5001098,"February 2, 2023",2004604,419094,0,0,274160,2013,1743055,18,416437,90497,17,51203,
4930844,"February 1, 2023",1981786,384436,0,0,288245,2487,1767353,13,388661,68983,14,48866,
4959435,"January 31, 2023",2004390,383343,0,0,289243,2529,1758829,0,398686,74739,18,47658,
4857280,"January 30, 2023",1942074,371684,0,0,260806,2165,1760593,0,379830,92312,16,47800,
4194626,"January 29, 2023",1515105,286992,0,0,254360,2276,1637676,0,377536,74045,23,46613,
4554464,"January 28, 2023",1756782,361370,0,0,267820,2142,1704234,0,339376,73750,25,48965,
5058196,"January 27, 2023",2122030,406085,0,0,272769,1938,1789556,0,338950,77860,24,48984,
4880678,"January 26, 2023",1975158,356035,0,0,250818,2034,1787100,0,370210,94633,100,44590,
4849356,"January 25, 2023",2010853,324358,0,0,221686,1741,1768638,0,373567,104445,94,43974,
4826958,"January 24, 2023",2034231,319057,0,0,210612,1707,1768458,0,366710,82828,103,43252,
4833071,"January 23, 2023",1997532,316700,0,0,206455,1790,1785337,0,390261,91275,111,43610,
4109891,"January 22, 2023",1493573,253761,0,0,190061,1736,1662919,0,392688,74441,93,40619,
4467627,"January 21, 2023",1728194,310074,0,0,203387,1755,1751448,0,353449,74356,171,44793,
4939143,"January 20, 2023",2052706,350225,0,0,207380,2196,1831771,0,365593,83415,416,45441,
4842052,"January 19, 2023",1897620,327538,0,0,212296,2296,1865273,0,405211,83848,18,47952,
4916952,"January 18, 2023",1929832,329492,0,0,216574,1787,1909481,0,396073,84269,11,49433,
5016811,"January 17, 2023",1969430,329270,0,0,206967,1633,1942668,0,406795,111964,8,48076,
4919737,"January 16, 2023",1930930,308161,0,0,197106,1727,1951417,0,384495,96942,12,48947,
4323666,"January 15, 2023",1503052,254682,0,0,194146,1891,1870368,0,377142,78792,18,43575,
4588046,"January 14, 2023",1742063,309756,0,0,192968,2068,1882223,0,335613,79534,14,43807,
5178919,"January 13, 2023",2111769,362589,0,0,215585,2162,1987056,0,370502,83476,9,45771,
4967854,"January 12, 2023",1977565,311693,0,0,215040,2328,1977041,0,350182,89779,9,44217,
5020888,"January 11, 2023",2026115,292961,0,0,231432,2692,1972588,0,369174,84429,7,41490,
4883591,"January 10, 2023",2104905,256073,0,0,187276,2249,1834023,0,378617,83484,4,36960,
4697033,"January 9, 2023",2042199,239572,0,0,163701,2332,1726732,0,393538,96524,14,32421,
3950438,"January 8, 2023",1566368,193775,0,0,161289,2535,1547549,0,374601,74388,9,29924,
4150250,"January 7, 2023",1793367,232411,0,0,181792,2492,1498139,0,337383,74778,4,29884,
4247061,"January 6, 2023",1948905,242765,0,0,174559,3152,1427677,0,337641,82823,2,29537,
4073389,"January 5, 2023",1918051,223785,0,0,163946,3147,1308558,0,344067,81649,0,30186,
3954368,"January 4, 2023",1933964,214271,0,0,157896,2042,1209859,0,317771,90329,0,28236,
3920702,"January 3, 2023",1956437,212567,0,0,152919,1766,1136498,0,350432,83121,0,26962,
3810059,"January 2, 2023",1902632,211553,0,0,147706,1830,1084043,0,346018,89081,0,27196,
2771471,"January 1, 2023",1210016,148484,0,0,124411,1726,934497,0,275773,55847,0,20717,
3413734,"December 31, 2022",1620628,234212,0,0,134937,2144,1034891,0,297503,66953,0,22466,
